waktu,lokasi,kecepatan_sekarang,kecepatan_bebas,tingkat_kelancaran
2026-05-01 07:42:48,Node_Solo_Ngarsopuro,18,25,72.0
2026-05-01 07:42:48,Node_Soba_Pandawa,33,41,80.49
2026-05-01 07:42:48,Node_Skh_Pasar,40,40,100.0
2026-05-01 07:42:48,Node_Kusuma_Grogol,37,44,84.09
2026-05-01 07:56:58,Node_Solo_Ngarsopuro,15,25,60.0
2026-05-01 07:56:58,Node_Soba_Pandawa,34,41,82.93
2026-05-01 07:56:58,Node_Skh_Pasar,32,39,82.05
2026-05-01 07:56:58,Node_Kusuma_Grogol,34,43,79.07
2026-05-01 08:03:49,Node_Solo_Ngarsopuro,17,25,68.0
2026-05-01 08:03:49,Node_Soba_Pandawa,35,41,85.37
2026-05-01 08:03:49,Node_Skh_Pasar,33,40,82.5
2026-05-01 08:03:49,Node_Kusuma_Grogol,37,44,84.09
2026-05-01 08:10:01,Node_Solo_Ngarsopuro,17,25,68.0
2026-05-01 08:10:01,Node_Soba_Pandawa,32,41,78.05
2026-05-01 08:10:01,Node_Skh_Pasar,31,39,79.49
2026-05-01 08:10:01,Node_Kusuma_Grogol,37,43,86.05
2026-05-01 08:20:00,Node_Solo_Ngarsopuro,20,26,76.92
2026-05-01 08:20:00,Node_Soba_Pandawa,33,41,80.49
2026-05-01 08:20:00,Node_Skh_Pasar,32,39,82.05
2026-05-01 08:20:00,Node_Kusuma_Grogol,36,43,83.72
2026-05-01 08:30:04,Node_Solo_Ngarsopuro,20,25,80.0
2026-05-01 08:30:04,Node_Soba_Pandawa,34,41,82.93
2026-05-01 08:30:04,Node_Skh_Pasar,40,40,100.0
2026-05-01 08:30:04,Node_Kusuma_Grogol,36,43,83.72
2026-05-01 08:40:01,Node_Solo_Ngarsopuro,19,25,76.0
2026-05-01 08:40:01,Node_Soba_Pandawa,32,41,78.05
2026-05-01 08:40:01,Node_Skh_Pasar,33,39,84.62
2026-05-01 08:40:01,Node_Kusuma_Grogol,36,43,83.72
